============================================================
  PS 26055 Statistical Harness — FULL RUN
  Seeds=30  T=5000  K=3  bands=8
  TSRD: statistics source only — not the environment
  Periodic params: 2 characterised instances (thin basis, noted)
============================================================

[Test 1] Core Scheduler vs Baselines

  Scenario: background | seeds=30 T=5000 dt=1000μs
    seed=28  wiql=0.007  rr=0.201
    seed=29  wiql=0.581  rr=0.277

  Jitter ratio: 0.02 | seeds=30 dt=100μs
    seed= 0  wiql=0.028  rr=0.367
    seed= 1  wiql=0.030  rr=0.170
    seed= 2  wiql=0.513  rr=0.265
    seed= 3  wiql=0.764  rr=0.306
    seed= 4  wiql=0.146  rr=0.376
    seed= 5  wiql=0.128  rr=0.094
    seed= 6  wiql=0.050  rr=0.361
    seed= 7  wiql=0.084  rr=0.323
    seed= 8  wiql=0.132  rr=0.309
    seed= 9  wiql=0.043  rr=0.260
    seed=10  wiql=0.025  rr=0.340
    seed=11  wiql=0.842  rr=0.354
    seed=12  wiql=0.474  rr=0.325
    seed=13  wiql=0.140  rr=0.187
    seed=14  wiql=0.396  rr=0.352
    seed=15  wiql=0.088  rr=0.364
    seed=16  wiql=0.026  rr=0.337
    seed=17  wiql=0.191  rr=0.351
    seed=18  wiql=0.169  rr=0.353
    seed=19  wiql=0.017  rr=0.249
    seed=20  wiql=0.307  rr=0.360
    seed=21  wiql=0.442  rr=0.366
    seed=22  wiql=0.507  rr=0.357
    seed=23  wiql=0.140  rr=0.368
    seed=24  wiql=0.670  rr=0.359
    seed=25  wiql=0.668  rr=0.257
    seed=26  wiql=0.147  rr=0.364
    seed=27  wiql=0.104  rr=0.270
    seed=28  wiql=0.002  rr=0.222
    seed=29  wiql=0.590  rr=0.263

  Jitter ratio: 0.05 | seeds=30 dt=100μs
    seed= 0  wiql=0.013  rr=0.351
    seed= 1  wiql=0.030  rr=0.175
    seed= 2  wiql=0.508  rr=0.267
    seed= 3  wiql=0.753  rr=0.313
    seed= 4  wiql=0.150  rr=0.368
    seed= 5  wiql=0.123  rr=0.086
    seed= 6  wiql=0.027  rr=0.376
    seed= 7  wiql=0.076  rr=0.319
    seed= 8  wiql=0.112  rr=0.311
    seed= 9  wiql=0.044  rr=0.254
    seed=10  wiql=0.016  rr=0.365
    seed=11  wiql=0.841  rr=0.355
    seed=12  wiql=0.466  rr=0.319
    seed=13  wiql=0.143  rr=0.191
    seed=14  wiql=0.397  rr=0.349
    seed=15  wiql=0.089  rr=0.361
    seed=16  wiql=0.027  rr=0.342
    seed=17  wiql=0.187  rr=0.344
    seed=18  wiql=0.155  rr=0.365
    seed=19  wiql=0.029  rr=0.261
    seed=20  wiql=0.301  rr=0.351
    seed=21  wiql=0.438  rr=0.375
    seed=22  wiql=0.502  rr=0.361
    seed=23  wiql=0.130  rr=0.368
    seed=24  wiql=0.670  rr=0.390
    seed=25  wiql=0.681  rr=0.259
    seed=26  wiql=0.135  rr=0.358
    seed=27  wiql=0.113  rr=0.290
    seed=28  wiql=0.003  rr=0.220
    seed=29  wiql=0.578  rr=0.235

  Jitter ratio: 0.08 | seeds=30 dt=100μs
    seed= 0  wiql=0.012  rr=0.363
    seed= 1  wiql=0.027  rr=0.183
    seed= 2  wiql=0.518  rr=0.253
    seed= 3  wiql=0.755  rr=0.302
    seed= 4  wiql=0.147  rr=0.351
    seed= 5  wiql=0.121  rr=0.086
    seed= 6  wiql=0.032  rr=0.361
